tidak_baku,kata_baku
hadehhhh,waduh
be,biasa saja
teh,jadi
sh,sih
trnsaksi,transaksi
dikit²,sedikit-sedikit
ge,saya
100x,seratus kali
trnyta,ternyata
masukkeluar,masuk dan keluar
now,sekarang
wajahtersenyumdengan3hati,cinta
bumn,perusahaan pekerjaan
bangt,banget
jdinya,jadinya
well,jadinya
bet,banget
nutup,tutup
dunk,dong
smg,semoga
josss,mantap
ahir,akhir
shopeepay,pembayaran online
wajahmarah,benci
krtu,kartu
idnya,id bank bca
woi,halo
gaperlu,tidak perlu
bkn,bikin
trnyata,ternyata
recommend,rekomendasi
susa,susah
ulng,ulang
jempolkebawahjempolkebawahjempolkebawah,tidak suka
ogah,tidak mau
ngg,tidak
safety,keamanan
etoll,keuangan elektronik jalan tol
tri,perusahaan jaringan
bagussangat,sangat bagus
bgst,bangsat
blur,buram
sim1,sim satu di handphone
mao,mau
tk,tenaga kerja
skli,sekali
dftr,daftar 
teruspadahal,terus padahal
terus²an,terus-terusan
solving,menyelesaikan
first,pertama
era,zaman
ak,saya
gapernah,tidak pernah
gg,mantap
jempolkeataswarnakulitcerah,suka
gegara,gara-gara
people,orang-orang
melipattanganmelipattanganmelipattangan,terima kasih
stak,stuck
gblk,goblok
thankyou,terima kasih
gilaaa,gila
cuk,hey
luck,beruntung
mas,masa
mantaaap,mantap
pasca,setelah
gda,tidak ada
mikir,pikir
akunnya,akun
donlot,unduh
okee,oke
mbulet,memutar disitu saja
ortu,orang tua
unlock,membuka
phone,handphone
milih,memilih
emng,memang
kereeeen,keren
work,bekerja
image,gambar
kyak,seperti
lh,ih
tbtb,tiba-tiba
huft,capek
mantapjempolkeatas,mantap
send,kirim
dimintai,diminta
norekening,nomor rekening
pling,paling
apasih,apa sih
gpp,tidak apa apa
bertahun2,bertahun-tahun
bot,robot
menu2,menu-menu
iy,iya
nda,tidak
vitur,fitur
bapuk,jelek
teros,terus
br,baru
blg,bilang
kebuang,terbuang
kira2,kira-kira
paswod,password
wajahmengantuk,capek
idpasword,id password
100rb,seratus ribu rupiah
oneklik,one klik
pnya,punya
mantull,mantap banget
better,lebih baik
okeee,oke
wajahsangatmarah,marah
tentunya,marah
terulang,berulang
ujung²nya,ujung-ujungnya
apply,tambahkan
yaah,yah
jossss,mantap
kapanpun,kapan pun
fiture,fitur
300jt,tiga ratus juta rupiah
tampilanya,tampilan
paswor,password
joss,mantap
terus2an,terus-terusan
taii,tai
pdf,file elektronik
tau2,tau-tau
off,mati
pitur,fitur
maybca,mybca
okey,oke
pdam,perusahaan air minum
ngabis2in,habiskan
hnya,hanya
bertele,bertele-tele
benarbenar,benar-benar
sesusah,sesudah
ato,atau
50ribu,lima puluh ribu rupiah
ngaktifin,aktifkan
unistall,uninstall
kerennn,keren
custamer,customer
bifast,fitur transaksi bank indonesia
repot2,repot-repot
ngehang,rusak
design,desain
fitu,fitur
lngkap,lengkap
security,keamanan
spy,supaya
edeposito,e-deposito
menelpon,telepon
devicenya,alat
gadgetin,channel youtube
kblokir,terblokir
confirmasi,konfirmasi
akhirny,akhirnya
are,apakah
or,atau
mksdnya,maksudnya
say,saya
oto,perusahaan leasing keuangan
muncul2,muncul-muncul
yh,yah
mantabbb,mantap
boro2,boro-boro
apikasi,aplikasi
kntor,kantor
temen,teman
sgala,segala
bacaan,baca
parahhhh,parah
ewalet,e-wallet
mumet,ribet
pulsaa,pulsa
gatau,tidak tahu
bless,baik
haru,harus
makai,pakai
wajahmenangis,sedih
sebenar,sebenarnya
sagat,sangat
bukak,buka
ngebantu,terbantu
mhon,mohon
alesannya,alasannya
anehh,aneh
ganguan,gangguan
diinstal,di install
ijin,izin
ketus,kasar
tidk,tidak
dua2nya,dua-duanya
terbelokir,terblokir
crash,rusak
skali,sekali
cool,keren
wajahgembirawajahgembira,
keliatan,kelihatan
appsnya,aplikasinya
terussss,terus
nilaiseratus,nilai seratus
kepending,tertunda
payrol,payroll
spaylater,fitur pembayaran aplikasi shopee
store,google play store
sangt,sangat
seharihari,sehari-hari
trusss,terus
updatean,update
skg,sekarang
ktnya,katanya
oppps,waduh
ayok,ayo
aga,agak
transaction,transaksi
ups,waduh
makasi,terima kasih
konoha,negara indonesia
telf,telepon
hehe,tertawa
ttap,tetap
bgttt,banget
sistemny,sistemnya
koplak,konyol
30x,tiga puluh kali
aza,aja
ngabisiin,menghabiskan
krja,kerja
gara²,gara-gara
priatepukjidat,capek
indosat,perusahaan internet
gbsa,tidak bisa
matiin,matikan
aplikasiny,aplikasinya
tetp,tetap
kalii,kali
prima,jenis layanan transaksi bank
gni,gini
wkwkwkwk,tertawa
aman²,aman-aman
akhir²,akhir-akhir
20x,dua puluh kali
tmpt,tempat
masah,masa
bapakibu,bapak ibu
develop,developer
frendly,ramah
sich,sih
malas,malas
cab,cabang
diulang2,berulang
hang,rusak
haduhh,waduh
ngeluhin,mengeluh
cemen,tidak hebat
serumit,rumit
of,dari
gercep,gesit
kalu,kalau
skip,lompati
infinix,merk handphone
bangetttt,banget
lamalama,banget
mnding,mending
wort,layak
astaghfirullah,mengingat tuhan
tekor,bangkrut
telpn,telepon
bagussss,bagus
terusterusan,terus-terusan
musingin,memusingkan
smpek,sampai
worst,terburuk
berhasil2,berhasil
stay,tinggal
with,dengan
kesalahansilahkan,kesalahan silahkan
bisabisa,bisa-bisa
wajahmemelas,bingung
kpd,kepada
jempolkebawahjempolkebawah,tidak suka
bravo,mantap
servicenya,layanan
25ribu,dua puluh lima ribu
rekomen,rekomendasi
cash,tunai
feature,fitur
nyerah,menyerah
mngkin,mungkin
pda,pada
kurg,kurang
benar²,benar-benar
bnr2,benar-benar
ferifikasi,verifikasi
bsa2,bisa-bisa
kr,karena
wajahdenganmatakeatas,capek
sehari2,sehari-hari
verifikasih,verifikasi
refund,kembalikan uang
ty,terima kasih
abiss,habis
ee,eh
wkt,waktu
masukkin,masukan
peraktis,praktis
nyobain,coba
kereeenn,keren
ribeut,ribet
iki,ini
10ribu,sepuluh ribu rupiah
push,dorong
feedback,umpan balik
ribet2,ribet
masukmasuk,masuk
taro,taruh
wajahtersenyumdenganmatabahagia,senang
ggal,gagal
nlpn,telepon
jelass,jelas
habiss,habis
jngan,jangan
tida,tidak
plisss,tolonglah
haloo,halo
gmana,gimana
tertawaterbahakbahaktertawaterbahakbahaktertawaterbahakbahak,tertawa
ngapalin,hafalkan
fress,segar
wajahlega,senang
24jam,dua puluh empat jam
sbg,sebagai
wajahmenguap,capek
cashback,pengembalian uang
berbelit2,berbelit-belit
aneh2,aneh-aneh
hut,pondok
bluetooth,fitur pengiriman
gabisa2,tidak bisa
abal2,abal-abal
mybcanya,mybca
hati²,hati-hati
100k,seratus ribu rupiah
nunggunya,menunggu
jelasudah,jelas sudah
jobs,kerja
nelponnya,telepon
notice,respon
skr,sekarang
kog,kok
kgk,tidak
nanggung,tanggung
centre,pusat
brmo,aplikasi bank mobile bank lain
fiturny,fiturnya
pulak,pula
lagian,lagipula
kelebihannya,lebih
sngat,sangat
sep,sip
15k,lima belas ribu rupiah
delay,tunda
skrang,sekarang
icon,lambang
3rb,tiga ribu rupiah
failed,gagal
malu2in,memalukan
usefull,kurang berguna
data2,data-data
b,biasa aja
nipu,menipu
akui,mengakui
connect,terhubung
ngotak,mikir
benar2,benar-benar
mbengking,mobile banking
go,pergi
byar,bayar
nnti,nanti
pegel,pegal
aplication,aplikasi
siiip,sip
3hr,tiga hari
telefon,telepon
20ribu,dua puluh ribu rupiah
okok,oke
inj,ini
goceng,5 ribu
real,asli
aktf,aktif
otw,sedang di jalan
salahpadahal,salah padahal
wajahberkacamatahitamjempolkeatas,keren
tuju,dituju
banyak2,banyak-banyak
check,cek
lagii,lagi
sue,sial
sebagus,bagus
orangtepukjidat,capek
bisakah,bisa-bisa
jadi2,jadi
tangani,atasi
ntar,nanti
brtransaksi,bertransaksi
membantuu,bantu
inget,ingat
dftar,daftar
loding,loading
back,kembali
financial,finansial
blablabla,basa basi
informatif,penuh informasi
bbrpa,beberapa
butut,rusak
terosss,terus
okk,ok
keypad,tombol keyboard
iseng,coba-coba
sanggat,sangat
pratis,praktis
stor,setor
keybca,key bca
sipp,sip
pro,professional
ngabis,habis
toh,tuh
diem,diam
tele,jauh
mbak,mba
background,latar belakang
vertivikasi,verifikasi
nlpon,telepon
donlod,unduh
rata²,rata-rata
alus,halus
bill,tagihan
fitur²,fitur-fitur
ngurusin,mengurus
nghabisin,menghabiskan
tampa,tanpa
mantaaaap,mantap
msukin,masukan
ribed,ribet
nokartu,nomor kartu
soon,segera
okejempolkeatas,mantap
human,manusia
logi,login
lamaa,lama
trs2an,terus-terusan
skl,sekali
ngurusnya,mengurus
liyt,liat
nsbh,nasabah
lgy,lagi
mengkoneksikan,menghubungkan
dicancel,dibatalkan
hpus,hapus
gini2,begini
telponan,telepon
mantabs,mantap
txn,terima kasih
fingerprin,sidik jari
wajahtersenyumlebardanmemejamkanmata,
fiturfiturnya,fitur-fiturnya
tul,benar
forever,selamanya
selanjut,selanjutnya
gaboleh,tidak boleh
trasaksi,transaksi
erornya,error
kirimkirim,kirim
kirim²,kirim
kereenn,keren
sekrang,sekarang
67k,enam puluh tujuh ribu rupiah
esok,besok
there,tiga
thats,itu semua
give,berikan
notifications,pemberitahuan
incoming,pendapatan
know,tahu
will,akan
tmen,teman
ag,agar
line,garis
masukmelipattangan,terima kasih
tepercaya,terpercaya
aplikaai,aplikasi
apasi,apa sih
load,muat
ready,siap
muter²,berulang
keputus,terputus
300juta,tiga ratus juta rupiah
block,blok
puya,punya
simple2,simpel
ngubungin,hubungkan
klen,kalian
diedit,edit
drtd,daritadi
koh,kok
parahpadahal,parah padahal
mbking,mobile banking
ngaruh,pengaruh
cust,customer
care,menjaga
selesai2,selesai
kemana2,kemana-mana
tamba,tanpa
sihhh,sih
updatemalah,update malah
dngn,dengan
5g,jaringan internet
kzl,kesal
kbutuhan,kebutuhan
copas,salin dan tempel
number,nomor
pasilitas,fasilitas
catet,catat
laaaaah,lah
pliss,tolonglah
diadain,diadakan
diliat,dilihat
mantal,mantap
disurh,disuruh
menuhin,memenuhin
pa,apa
sekuriti,petugas keamanan
gj,tidak jelas
ajagak,aja gak
bcatolong,bca tolong 
wajahtersenyumdenganairmatawajahtersenyumdenganairmata,kecewa
screenshot,tangkap layar
kmana,kemana
prioritaskan,utamakan
saing,bersaing
lieur,pusing
past,masa lalu
unt,untuk
aduh,waduh
screen,layar
opps,waduh
casflow,cashflow
jwbn,jawaban
3bintang,tiga bintang
adatolong,ada tolong
nyajd,nya jadi
jh,saja
scr,secara
low,rendah
walet,dompet
judes,galak
aplikasibikin,aplikasi bikin
apdet,update
aktiv,aktif
bisaaa,bisa
ngelayanin,melayani
ieu,ini
sush,susah
blank,kosongh
nyimpen,simpan
beberpa,beberapa
kanapa,kenapa
kebanyakn,kebanyakan
nyajempolkebawah,tidak suka
semingguan,seminggu
jempolkeataswarnakulitcerahjempolkeataswarnakulitcerahjempolkeataswarnakulitcerahjempolkeataswarnakulitcerahjempolkeataswarnakulitcerah,suka
menelepon,telepon
bentar2,sebentar-sebentar
beliin,belikan
maksih,terima kasih
saranin,sarankan
akhirakhir,akhir-akhir
historynya,sejarah
gagal2,gagal
lahhh,lah
perumit,rumit
neh,yah
trakhir,terakhir
sea,aplikasi keuangan online
bbca,bca
dsruh,disuruh
diemin,diamkan
uptade,update
membanty,membantu
gimmick,pura-pura
update2,update
huhuhu,sedih
bung,hai
bg,bagi
bntr,sebentar
ngehe,marah
cadless,cardless
stupid,bodoh
payahhhhh,payah
pulsaudh,pulsa sudah
mangap,diam
riweh,ribet
eeh,eh
pulsaudah,pulsa sudah
pulsabeli,pulsa beli
bertanggung,bertanggung jawab
rekomend,rekomendasikan
lha,lah
tuhh,itu
salahin,salahkan
oopsterjadi,waduh
logintapi,login tapi
sing,yang
os,sistem operasi handphone
woe,woy
ngelek,lambat
ngedown,melambat
perluh,perlu
solved,terselesaikan
issue,masalah
yt,youtube
membanti,membantu
lain2,lain-lain
bugerror,bug error
seh,sih
jelekk,jelek
flazznya,kartu flazz e-money bank bca
screnshot,tangkap layar
respon2,respon
gaa,tidak
ditungguin,ditunggu
fingerprintnya,sidik jari nya
improve,buktikan
gimn,bagaimana
betmen,manusia jahat
sudha,sudah
biomatrik,biometrik
perivikasi,verifikasi
kirimsms,kirim sms
benahin,benah
kirimi,kirim
disrh,disuruh
onlinenya,online nya
dibales,dibalas
nyalahin,menyalahkan
tmn,teman
gopaylater,aplikasi keuangan online
kas,uang kas
ngapa2in,berbuat
hello,halo
faceid,face id
bcatapi,bca tapi
datadata,data-data
ln,ini
page,lembar
tah,sial
ente,kamu
ver,versi
sekarng,sekarang
munculmuncul,muncul
beberapakali,beberapa kali
bin,tempat sampah
nma,nama
astagaaa,astaga
csteller,petugas bank
malh,malah
life,hidup
style,gaya
yak,iya
